episode,dataset,dataset_name,task_id,dataset_id,split_type,reward,loss,epsilon,f1,pipeline,invalid_count,pipeline_length,cache_hit
0,bank-marketing,bank-marketing,14965,1461,train,0.6997413385114349,,0.995,0.719741338511435,['random_forest'],0,1,True
1,mfeat-morphological,mfeat-morphological,18,18,train,0.37619566871878,,0.990025,0.39619566871878004,['svm'],0,1,True
2,letter,letter,6,6,train,0.8624687270924547,,0.985074875,0.9224687270924548,"['standard_scaler', 'pca', 'knn']",0,3,True
3,climate-model-simulation-crashes,climate-model-simulation-crashes,146819,40994,train,0.3963948497854078,,0.9801495006250001,0.47639484978540775,"['pca', 'feature_selection', 'standard_scaler', 'random_forest']",0,4,True
4,sick,sick,3021,38,train,0.5066724916266201,,0.9752487531218751,0.5466724916266201,"['feature_selection', 'knn']",0,2,True
5,satimage,satimage,2074,182,train,0.863313297873049,,0.9703725093562657,0.883313297873049,['knn'],0,1,True
6,electricity,electricity,219,151,train,0.7408555990140602,,0.9655206468094844,0.7808555990140602,"['standard_scaler', 'svm']",0,2,True
7,mfeat-zernike,mfeat-zernike,22,22,train,0.7660314682126085,,0.960693043575437,0.7860314682126085,['random_forest'],0,1,True
8,CIFAR_10,CIFAR_10,167124,40927,train,0.2833131798032224,,0.9558895783575597,0.32331317980322244,"['feature_selection', 'knn']",0,2,True
9,mfeat-karhunen,mfeat-karhunen,16,16,train,0.962266485276634,,0.9511101304657719,0.9822664852766341,['svm'],0,1,True
10,dresses-sales,dresses-sales,125920,23381,train,0.5923630136986301,,0.946354579813443,0.6323630136986301,"['feature_selection', 'random_forest']",0,2,True
11,mfeat-pixel,mfeat-pixel,146824,40979,train,0.9044556851668426,,0.9416228069143757,0.9644556851668427,"['standard_scaler', 'pca', 'random_forest']",0,3,True
12,cnae-9,cnae-9,9981,1468,train,0.873732715831099,,0.9369146928798039,0.913732715831099,"['feature_selection', 'random_forest']",0,2,True
13,breast-w,breast-w,15,15,train,0.9113952977367611,,0.9322301194154049,0.9513952977367611,"['standard_scaler', 'knn']",0,2,True
14,blood-transfusion-service-center,blood-transfusion-service-center,10101,1464,train,0.44661064425770314,,0.9275689688183278,0.5266106442577031,"['feature_selection', 'standard_scaler', 'pca', 'svm']",0,4,True
15,adult,adult,7592,1590,train,0.7692875583366886,,0.9229311239742362,0.7892875583366886,['random_forest'],0,1,True
16,balance-scale,balance-scale,11,11,train,0.5532008431195423,,0.918316468354365,0.5732008431195423,['random_forest'],0,1,True
17,Internet-Advertisements,Internet-Advertisements,167125,40978,train,0.832317772681096,,0.9137248860125932,0.872317772681096,"['minmax_scaler', 'knn']",0,2,True
18,MiceProtein,MiceProtein,146800,40966,train,0.9191461379116288,,0.9091562615825302,0.9791461379116289,"['feature_selection', 'pca', 'random_forest']",0,3,True
19,tic-tac-toe,tic-tac-toe,49,50,train,0.8848807631160572,,0.9046104802746175,0.9248807631160573,"['standard_scaler', 'svm']",0,2,True
20,jungle_chess_2pcs_raw_endgame_complete,jungle_chess_2pcs_raw_endgame_complete,167119,41027,train,0.6177498056561714,,0.9000874278732445,0.6777498056561715,"['feature_selection', 'standard_scaler', 'knn']",0,3,True
21,nomao,nomao,9977,1486,train,0.8779849520850656,,0.8955869907338783,0.9379849520850656,"['standard_scaler', 'feature_selection', 'knn']",0,3,True
22,har,har,14970,1478,train,0.9119852875587707,,0.8911090557802088,0.9719852875587708,"['feature_selection', 'standard_scaler', 'random_forest']",0,3,True
23,first-order-theorem-proving,first-order-theorem-proving,9985,1475,train,0.48185933937223024,,0.8866535105013078,0.5018593393722303,['random_forest'],0,1,True
24,splice,splice,45,46,train,0.947365020467326,,0.8822202429488013,0.967365020467326,['svm'],0,1,True
25,wilt,wilt,146820,40983,train,0.426078338839075,,0.8778091417340573,0.48607833883907503,"['standard_scaler', 'pca', 'svm']",0,3,True
26,pc1,pc1,3918,1068,train,0.4613278008298755,,0.8734200960253871,0.48132780082987553,['svm'],0,1,True
27,cylinder-bands,cylinder-bands,14954,6332,train,0.715720823798627,,0.8690529955452602,0.755720823798627,"['feature_selection', 'random_forest']",0,2,True
28,wdbc,wdbc,9946,1510,train,0.846285953060798,,0.8647077305675338,0.866285953060798,['svm'],0,1,True
29,vowel,vowel,3022,307,train,0.7511816957073604,,0.8603841919146962,0.7711816957073604,['knn'],0,1,True
30,Fashion-MNIST,Fashion-MNIST,146825,40996,train,0.8646323077354003,,0.8560822709551227,0.8846323077354004,['svm'],0,1,False
31,kc2,kc2,3913,1063,train,0.5542146410803126,,0.851801859600347,0.6142146410803127,"['minmax_scaler', 'feature_selection', 'svm']",0,3,False
32,texture,texture,125922,40499,train,0.965486235133812,,0.8475428503023453,0.9854862351338121,['knn'],0,1,False
33,kr-vs-kp,kr-vs-kp,3,3,train,0.9353880279833093,,0.8433051360508336,0.9553880279833094,['svm'],0,1,False
34,jm1,jm1,3904,1053,train,0.5717155759403179,,0.8390886103705794,0.6117155759403179,"['standard_scaler', 'random_forest']",0,2,False
35,GesturePhaseSegmentationProcessed,GesturePhaseSegmentationProcessed,14969,4538,train,0.5464001420260103,,0.8348931673187264,0.5864001420260103,"['feature_selection', 'random_forest']",0,2,False
36,mnist_784,mnist_784,3573,554,train,0.9040581898400406,,0.8307187014821328,0.9440581898400406,"['standard_scaler', 'knn']",0,2,False
37,churn,churn,167141,40701,train,0.4419799139167862,,0.8265651079747222,0.4619799139167862,['svm'],0,1,False
38,credit-approval,credit-approval,29,29,train,0.7376287103806808,,0.8224322824348486,0.7776287103806808,"['standard_scaler', 'svm']",0,2,False
39,wall-robot-navigation,wall-robot-navigation,9960,1497,train,0.8079867669410877,,0.8183201210226743,0.8479867669410878,"['standard_scaler', 'knn']",0,2,False
40,mfeat-fourier,mfeat-fourier,14,14,train,0.8070056981911784,,0.8142285204175609,0.8270056981911784,['random_forest'],0,1,False
41,segment,segment,146822,40984,train,0.9031466907479032,,0.810157377815473,0.9231466907479032,['random_forest'],0,1,False
42,analcatdata_dmft,analcatdata_dmft,3560,469,train,0.11291243663309394,,0.8061065909263957,0.17291243663309394,"['standard_scaler', 'feature_selection', 'random_forest']",0,3,False
43,mfeat-factors,mfeat-factors,12,12,train,0.8357700906395882,,0.8020760579717637,0.8757700906395882,"['feature_selection', 'svm']",0,2,False
44,car,car,146821,40975,train,0.9151110581357987,,0.798065677681905,0.9351110581357988,['svm'],0,1,False
45,semeion,semeion,9964,1501,train,0.9356931871239985,,0.7940753492934954,0.9556931871239985,['svm'],0,1,False
46,connect-4,connect-4,146195,40668,train,0.5661198350730884,,0.7901049725470279,0.5861198350730884,['knn'],0,1,False
47,ilpd,ilpd,9971,1480,train,0.6630645161290323,,0.7861544476842928,0.6830645161290323,['random_forest'],0,1,False
48,banknote-authentication,banknote-authentication,10093,1462,train,0.9301421780788413,,0.7822236754458713,0.9901421780788413,"['standard_scaler', 'feature_selection', 'random_forest']",0,3,False
49,cmc,cmc,23,23,train,0.4641596353987184,,0.778312557068642,0.5041596353987184,"['standard_scaler', 'random_forest']",0,2,False
50,isolet,isolet,3481,300,train,0.9235024556674343,,0.7744209942832988,0.9435024556674343,['random_forest'],0,1,False
51,ozone-level-8hr,ozone-level-8hr,9978,1487,train,0.6017650962176508,,0.7705488893118823,0.6217650962176509,['random_forest'],0,1,False
52,dna,dna,167140,40670,train,0.7939031882501252,,0.7666961448653229,0.8539031882501252,"['standard_scaler', 'pca', 'random_forest']",0,3,False
53,Devnagari-Script,Devnagari-Script,167121,40923,train,0.8800268014037228,,0.7628626641409962,0.9000268014037228,['random_forest'],0,1,False
54,analcatdata_authorship,analcatdata_authorship,3549,458,train,0.976375098502758,,0.7590483508202912,0.9963750985027581,['svm'],0,1,False
55,eucalyptus,eucalyptus,2079,188,train,0.35341233342087786,,0.7552531090661897,0.41341233342087785,"['pca', 'standard_scaler', 'random_forest']",0,3,False
56,credit-g,credit-g,31,31,train,0.6430628803245436,,0.7514768435208588,0.6830628803245437,"['standard_scaler', 'random_forest']",0,2,False
57,numerai28.6,numerai28.6,167120,23517,train,0.47383269363881797,,0.7477194593032545,0.513832693638818,"['pca', 'random_forest']",0,2,False
58,pc4,pc4,3902,1049,train,0.6171256306140027,,0.7439808620067382,0.6771256306140028,"['standard_scaler', 'feature_selection', 'svm']",0,3,False
59,PhishingWebsites,PhishingWebsites,14952,4534,train,0.8857059397705829,,0.7402609576967045,0.9457059397705829,"['standard_scaler', 'pca', 'knn']",0,3,False
60,har,har,14970,1478,train,0.9440564175807428,,0.736559652908221,0.9640564175807428,['knn'],0,1,False
61,mfeat-karhunen,mfeat-karhunen,16,16,train,0.9377886533129698,,0.7328768546436799,0.9577886533129698,['random_forest'],0,1,False
62,mnist_784,mnist_784,3573,554,train,0.9040581898400406,,0.7292124703704616,0.9440581898400406,"['standard_scaler', 'knn']",0,2,True
63,car,car,146821,40975,train,0.893771772421513,,0.7255664080186093,0.933771772421513,"['standard_scaler', 'random_forest']",0,2,False
64,first-order-theorem-proving,first-order-theorem-proving,9985,1475,train,0.3428522557498767,,0.7219385759785162,0.36285225574987673,['svm'],0,1,False
65,pc1,pc1,3918,1068,train,0.5433333333333332,,0.7183288830986236,0.5833333333333333,"['pca', 'knn']",0,2,False
66,cylinder-bands,cylinder-bands,14954,6332,train,0.7318760081352127,,0.7147372386831305,0.7518760081352127,['random_forest'],0,1,False
67,climate-model-simulation-crashes,climate-model-simulation-crashes,146819,40994,train,0.5017816091954023,,0.7111635524897149,0.5617816091954023,"['feature_selection', 'minmax_scaler', 'svm']",0,3,False
68,cmc,cmc,23,23,train,0.4212001691461961,,0.7076077347272662,0.46120016914619616,"['minmax_scaler', 'knn']",0,2,False
69,satimage,satimage,2074,182,train,0.837435906341469,,0.7040696960536299,0.8774359063414691,"['feature_selection', 'svm']",0,2,False
70,credit-approval,credit-approval,29,29,train,0.49164835164835163,0.20325660705566406,0.7005493475733617,0.5516483516483517,"['pca', 'standard_scaler', 'random_forest']",0,3,False
71,credit-g,credit-g,31,31,train,0.6430628803245436,0.16064823170502981,0.697046600835495,0.6830628803245437,"['standard_scaler', 'random_forest']",0,2,True
72,numerai28.6,numerai28.6,167120,23517,train,0.4881982844892714,0.13646625354886055,0.6935613678313175,0.5081982844892714,['random_forest'],0,1,False
73,letter,letter,6,6,train,0.8995495070567066,0.07698721811175346,0.6900935609921609,0.9395495070567066,"['feature_selection', 'knn']",0,2,False
74,wilt,wilt,146820,40983,train,0.8492363112391931,0.05914861336350441,0.6866430931872001,0.8692363112391931,['knn'],0,1,False
75,analcatdata_dmft,analcatdata_dmft,3560,469,train,0.13291243663309396,0.04167040251195431,0.6832098777212641,0.17291243663309394,"['minmax_scaler', 'random_forest']",0,2,False
76,Fashion-MNIST,Fashion-MNIST,146825,40996,train,0.8568809448505769,0.04564989171922207,0.6797938283326578,0.8768809448505769,['random_forest'],0,1,False
77,churn,churn,167141,40701,train,0.45606406350089657,0.033274525155623756,0.6763948591909945,0.4960640635008966,"['pca', 'random_forest']",0,2,False
78,segment,segment,146822,40984,train,0.9031466907479032,0.02880389615893364,0.6730128848950395,0.9231466907479032,['random_forest'],0,1,True
79,sick,sick,3021,38,train,0.8878153653122285,0.020301445620134473,0.6696478204705644,0.9078153653122285,['random_forest'],0,1,False
80,CIFAR_10,CIFAR_10,167124,40927,train,0.3033131798032224,0.01910046488046646,0.6662995813682115,0.32331317980322244,['knn'],0,1,False
81,dna,dna,167140,40670,train,0.9269010386258641,0.19070086628198624,0.6629680834613705,0.9469010386258642,['random_forest'],0,1,False
82,jm1,jm1,3904,1053,train,0.5434845366372062,0.18198224157094955,0.6596532430440636,0.5634845366372062,['knn'],0,1,False
83,balance-scale,balance-scale,11,11,train,0.5532008431195423,0.1728845089673996,0.6563549768288433,0.5732008431195423,['random_forest'],0,1,True
84,semeion,semeion,9964,1501,train,0.8843148073721085,0.16072948773701987,0.653073201944699,0.9243148073721086,"['standard_scaler', 'random_forest']",0,2,False
85,electricity,electricity,219,151,train,0.7432443368921977,0.11466042697429657,0.6498078359349755,0.7632443368921977,['svm'],0,1,False
86,splice,splice,45,46,train,0.9339648601916312,0.09223363921046257,0.6465587967553006,0.9539648601916312,['random_forest'],0,1,False
87,wall-robot-navigation,wall-robot-navigation,9960,1497,train,0.9678933336618712,0.08284618705511093,0.6433260027715241,0.9878933336618713,['random_forest'],0,1,False
88,Internet-Advertisements,Internet-Advertisements,167125,40978,train,0.9129336734693876,0.05058340604106585,0.6401093727576664,0.9529336734693876,"['feature_selection', 'random_forest']",0,2,False
89,mfeat-pixel,mfeat-pixel,146824,40979,train,0.9512976271040787,0.03995955549180508,0.6369088258938781,0.9712976271040787,['random_forest'],0,1,False
90,dresses-sales,dresses-sales,125920,23381,train,0.6123630136986301,0.04455259442329407,0.6337242817644086,0.6323630136986301,['random_forest'],0,1,False
91,kc2,kc2,3913,1063,train,0.5542146410803126,0.020385921467095613,0.6305556603555866,0.6142146410803127,"['minmax_scaler', 'feature_selection', 'svm']",0,3,True
92,adult,adult,7592,1590,train,0.5626919891456221,0.01686933496966958,0.6274028820538087,0.5826919891456221,['svm'],0,1,False
93,mfeat-morphological,mfeat-morphological,18,18,train,0.4447002914441073,0.00996461184695363,0.6242658676435396,0.4647002914441073,['knn'],0,1,False
94,nomao,nomao,9977,1486,train,0.9201086127225511,0.017664831442137558,0.6211445383053219,0.9601086127225511,"['minmax_scaler', 'random_forest']",0,2,False
95,kr-vs-kp,kr-vs-kp,3,3,train,0.9432749209106135,0.023070203761259716,0.6180388156137953,0.9832749209106135,"['standard_scaler', 'svm']",0,2,False
96,texture,texture,125922,40499,train,0.8385388370837931,0.023396532361706097,0.6149486215357263,0.8785388370837931,"['pca', 'random_forest']",0,2,False
97,PhishingWebsites,PhishingWebsites,14952,4534,train,0.937478248751719,0.023211353458464146,0.6118738784280476,0.957478248751719,['svm'],0,1,False
98,ozone-level-8hr,ozone-level-8hr,9978,1487,train,0.443695652173913,0.01979937714835008,0.6088145090359074,0.483695652173913,"['feature_selection', 'svm']",0,2,False
99,jungle_chess_2pcs_raw_endgame_complete,jungle_chess_2pcs_raw_endgame_complete,167119,41027,train,0.7287484216304789,0.007906495127826929,0.6057704364907278,0.7487484216304789,['svm'],0,1,False
100,mfeat-zernike,mfeat-zernike,22,22,train,0.7660314682126085,0.021130742505192757,0.6027415843082742,0.7860314682126085,['random_forest'],0,1,True
101,banknote-authentication,banknote-authentication,10093,1462,train,0.9767240922342963,0.02398247830569744,0.5997278763867329,0.9967240922342964,['svm'],0,1,False
102,isolet,isolet,3481,300,train,0.9235024556674343,0.02109208283945918,0.5967292370047992,0.9435024556674343,['random_forest'],0,1,True
103,connect-4,connect-4,146195,40668,train,0.5461198350730884,0.016395529732108116,0.5937455908197752,0.5861198350730884,"['feature_selection', 'knn']",0,2,False
104,pc4,pc4,3902,1049,train,0.6258176260825267,0.01714120029161374,0.5907768628656763,0.6658176260825267,"['feature_selection', 'random_forest']",0,2,False
105,analcatdata_authorship,analcatdata_authorship,3549,458,train,0.94,0.01605210150592029,0.5878229785513479,1.0,"['feature_selection', 'minmax_scaler', 'knn']",0,3,False
106,tic-tac-toe,tic-tac-toe,49,50,train,0.9126211888572056,0.010515162100394567,0.5848838636585911,0.9526211888572056,"['feature_selection', 'random_forest']",0,2,False
107,bank-marketing,bank-marketing,14965,1461,train,0.6810819952322601,0.007814711735894283,0.5819594443402982,0.7210819952322601,"['minmax_scaler', 'random_forest']",0,2,False
108,breast-w,breast-w,15,15,train,0.9055608352587297,0.01970770349726081,0.5790496471185967,0.9655608352587297,"['minmax_scaler', 'pca', 'svm']",0,3,False
109,blood-transfusion-service-center,blood-transfusion-service-center,10101,1464,train,0.4100862068965518,0.008710705675184727,0.5761543988830038,0.49008620689655175,"['minmax_scaler', 'pca', 'feature_selection', 'svm']",0,4,False
110,MiceProtein,MiceProtein,146800,40966,train,0.9199999999999999,0.020861519500613213,0.5732736268885887,1.0,"['minmax_scaler', 'feature_selection', 'pca', 'svm']",0,4,False
111,mfeat-fourier,mfeat-fourier,14,14,train,0.7851346950986657,0.007462713556985061,0.5704072587541458,0.8251346950986658,"['minmax_scaler', 'svm']",0,2,False
112,vowel,vowel,3022,307,train,0.4233198166049998,0.015097732034822306,0.567555222460375,0.4633198166049998,"['minmax_scaler', 'svm']",0,2,False
113,GesturePhaseSegmentationProcessed,GesturePhaseSegmentationProcessed,14969,4538,train,0.5162302511400314,0.02082351502031088,0.5647174463480732,0.5362302511400314,['knn'],0,1,False
114,wdbc,wdbc,9946,1510,train,0.917780856257009,0.020659364759922028,0.5618938591163328,0.957780856257009,"['minmax_scaler', 'svm']",0,2,False
115,cnae-9,cnae-9,9981,1468,train,0.853732715831099,0.017435351270250976,0.5590843898207511,0.913732715831099,"['standard_scaler', 'feature_selection', 'random_forest']",0,3,False
116,ilpd,ilpd,9971,1480,train,0.5427895694360219,0.017452717060223222,0.5562889678716474,0.6027895694360219,"['standard_scaler', 'feature_selection', 'knn']",0,3,False
117,eucalyptus,eucalyptus,2079,188,train,0.5001728831746914,0.013096177019178867,0.5535075230322891,0.5401728831746915,"['standard_scaler', 'svm']",0,2,False
118,Devnagari-Script,Devnagari-Script,167121,40923,train,0.9154353510216617,0.0054319147020578384,0.5507399854171277,0.9354353510216618,['svm'],0,1,False
119,mfeat-factors,mfeat-factors,12,12,train,0.851410737540298,0.013593772193416953,0.547986285490042,0.911410737540298,"['pca', 'feature_selection', 'random_forest']",0,3,False
120,credit-approval,credit-approval,29,29,train,0.553687292601991,0.014167103450745344,0.5452463540625918,0.573687292601991,['svm'],0,1,False
121,pc1,pc1,3918,1068,train,0.5781897730380092,0.012765556387603284,0.5425201222922789,0.6581897730380093,"['minmax_scaler', 'feature_selection', 'pca', 'knn']",0,4,False
122,cnae-9,cnae-9,9981,1468,train,0.7243126097061874,0.01488180346786976,0.5398075216808175,0.8043126097061875,"['minmax_scaler', 'feature_selection', 'pca', 'knn']",0,4,False
123,Internet-Advertisements,Internet-Advertisements,167125,40978,train,0.7626937689969605,0.012378509622067213,0.5371084840724134,0.7826937689969605,['svm'],0,1,False
124,kc2,kc2,3913,1063,train,0.48617647058823527,0.014043248817324638,0.5344229416520513,0.5661764705882353,"['standard_scaler', 'feature_selection', 'pca', 'svm']",0,4,False
125,breast-w,breast-w,15,15,train,0.9523389355742297,0.011846894165500998,0.531750826943791,0.9723389355742297,['random_forest'],0,1,False
126,mnist_784,mnist_784,3573,554,train,0.9566883051675554,0.01648061303421855,0.5290920728090721,0.9766883051675554,['svm'],0,1,False
127,electricity,electricity,219,151,train,0.7146705407179688,0.01832852077980836,0.5264466124450268,0.7546705407179688,"['pca', 'random_forest']",0,2,False
128,tic-tac-toe,tic-tac-toe,49,50,train,0.8848807631160572,0.01605405720571677,0.5238143793828016,0.9248807631160573,"['standard_scaler', 'svm']",0,2,True
129,har,har,14970,1478,train,0.9440564175807428,0.01099998946301639,0.5211953074858876,0.9640564175807428,['knn'],0,1,True
130,analcatdata_dmft,analcatdata_dmft,3560,469,train,0.16382357413366963,0.014251468237489462,0.5185893309484582,0.18382357413366965,['svm'],0,1,False
131,car,car,146821,40975,train,0.9151110581357987,0.015079449862241745,0.5159963842937159,0.9351110581357988,['svm'],0,1,True
