status,error,task_id,dataset_id,dataset_name,split_type,n_samples,n_features,n_classes,missing_values,numeric_features,symbolic_features,preprocessed_n_features,split_source,train_samples,val_samples,test_samples
loaded,,3,3,kr-vs-kp,train,3196,36,2,0,0,36,73,openml_task_fold_0,2157,719,320
loaded,,6,6,letter,train,20000,16,26,0,16,0,16,openml_task_fold_0,13500,4500,2000
loaded,,11,11,balance-scale,train,625,4,3,0,4,0,4,openml_task_fold_0,421,141,63
loaded,,12,12,mfeat-factors,train,2000,216,10,0,216,0,216,openml_task_fold_0,1350,450,200
loaded,,14,14,mfeat-fourier,train,2000,76,10,0,76,0,76,openml_task_fold_0,1350,450,200
loaded,,15,15,breast-w,train,699,9,2,16,9,0,9,openml_task_fold_0,471,158,70
loaded,,16,16,mfeat-karhunen,train,2000,64,10,0,64,0,64,openml_task_fold_0,1350,450,200
loaded,,18,18,mfeat-morphological,train,2000,6,10,0,6,0,6,openml_task_fold_0,1350,450,200
loaded,,22,22,mfeat-zernike,train,2000,47,10,0,47,0,47,openml_task_fold_0,1350,450,200
loaded,,23,23,cmc,train,1473,9,3,0,2,7,24,openml_task_fold_0,993,332,148
loaded,,29,29,credit-approval,train,690,15,2,67,6,9,44,openml_task_fold_0,465,156,69
loaded,,31,31,credit-g,train,1000,20,2,0,7,13,61,openml_task_fold_0,675,225,100
loaded,,45,46,splice,train,3190,60,3,0,0,60,285,openml_task_fold_0,2153,718,319
loaded,,49,50,tic-tac-toe,train,958,9,2,0,0,9,27,openml_task_fold_0,646,216,96
loaded,,219,151,electricity,train,45312,8,2,0,7,1,14,openml_task_fold_0,30585,10195,4532
loaded,,2074,182,satimage,train,6430,36,6,0,36,0,36,openml_task_fold_0,4340,1447,643
loaded,,2079,188,eucalyptus,train,736,19,5,448,14,5,91,openml_task_fold_0,496,166,74
loaded,,3021,38,sick,train,3772,29,2,6064,6,23,53,openml_task_fold_0,2545,849,378
loaded,,3022,307,vowel,train,990,12,11,0,10,2,27,openml_task_fold_0,668,223,99
loaded,,3481,300,isolet,train,7797,617,26,0,617,0,617,openml_task_fold_0,5262,1755,780
loaded,,3549,458,analcatdata_authorship,train,841,70,4,0,70,0,70,openml_task_fold_0,567,189,85
loaded,,3560,469,analcatdata_dmft,train,797,4,6,0,0,4,21,openml_task_fold_0,537,180,80
loaded,,3573,554,mnist_784,train,70000,784,10,0,784,0,784,openml_task_fold_0,47250,15750,7000
loaded,,3902,1049,pc4,train,1458,37,2,0,37,0,37,openml_task_fold_0,984,328,146
loaded,,3904,1053,jm1,train,10885,21,2,25,21,0,21,openml_task_fold_0,7347,2449,1089
